,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","46,424,550","49,391,211","52,497,397","57,119,299","61,530,384","62,728,707","64,447,143","69,025,002","70,127,499","74,741,283","78,683,787","79,313,573","79,022,377","80,986,850","85,969,546","91,145,114","93,999,392","94,591,999","94,642,720","92,445,795","100,045,189"
"        Private industries","2","38,198,961","40,384,307","42,907,083","46,984,463","50,751,977","51,585,810","52,581,410","56,435,112","56,591,521","60,582,103","63,733,668","64,491,557","63,995,625","65,381,941","69,765,840","74,281,876","76,348,670","76,431,661","76,012,827","72,569,303","79,463,165"
"                Agriculture, forestry, fishing and hunting","3","4,875","28,718","9,868","3,486","3,156","4,155","18,869","27,806","36,100","32,991","27,495","41,413","30,421","18,565","11,051","11,178","22,341","S","50,244","41,294","26,823"
"                Mining, quarrying, and oil and gas extraction","6","22,564","28,567","32,872","48,991","60,072","70,924","96,478","89,351","47,480","111,185","45,285","34,768","14,225","11,928","12,921","10,846","12,579","S","15,758","11,999","11,606"
"                Utilities","10","144,227","168,336","134,606","243,815","52,535","212,844","496,932","361,778","304,710","460,951","385,178","322,480","359,393","431,747","609,064","500,168","927,245","S","963,980","884,788","929,311"
"                Construction","11","2,501,415","2,633,362","2,792,102","3,154,535","3,260,260","3,411,863","3,362,511","3,184,020","3,184,130","3,340,313","3,522,574","3,476,105","3,358,079","3,457,809","3,517,119","3,676,653","4,097,398","4,123,533","4,527,066","4,122,927","3,627,773"
"                Manufacturing","12","1,663,746","1,743,140","1,861,130","2,003,046","2,001,499","2,339,957","2,955,178","2,800,833","3,028,528","3,190,155","2,979,811","2,561,278","2,878,184","3,097,896","3,643,353","4,027,690","4,373,311","4,475,313","5,163,932","5,907,311","6,718,493"
"                        Durable goods manufacturing","13","890,452","1,039,361","1,152,203","S","S","1,055,352","1,179,097","1,494,296","1,386,362","1,312,811","1,237,370","1,092,687","1,103,436","1,096,834","1,125,095","1,136,825","1,201,399","1,402,702","1,626,799","1,498,877","1,505,290"
"                        Nondurable goods manufacturing","25","773,294","703,778","708,927","S","S","1,284,606","1,776,081","1,306,537","1,642,166","1,877,344","1,742,441","1,468,591","1,774,748","2,001,062","2,518,258","2,890,865","3,171,912","3,072,611","3,537,133","4,408,434","5,213,204"
"                Wholesale trade","34","1,528,953","1,517,930","1,577,159","1,766,719","1,936,202","2,129,792","2,359,341","2,469,722","2,350,891","2,570,378","2,644,009","2,782,329","2,698,128","2,535,542","2,536,870","2,192,365","2,123,559","2,185,680","2,251,983","2,245,299","2,545,472"
"                Retail trade","35","2,676,430","2,719,660","2,829,936","2,764,264","2,933,413","2,855,114","2,781,525","2,690,000","2,553,482","2,772,611","2,880,490","3,099,198","3,177,300","3,295,834","3,512,754","3,557,283","3,530,291","3,529,153","3,529,791","3,374,615","3,878,768"
"                Transportation and warehousing","36","259,973","305,849","338,164","399,265","381,231","366,719","303,179","359,982","361,805","409,313","463,612","449,904","437,331","442,872","482,928","481,079","508,380","541,654","564,620","579,093","616,988"
"                Information","45","3,549,292","4,009,810","4,094,179","5,562,384","6,172,606","5,051,706","3,671,930","5,462,950","5,986,645","7,552,262","8,159,793","7,759,635","7,112,393","5,896,383","6,532,994","7,255,204","7,188,442","5,890,113","4,995,195","4,766,226","6,908,566"
"                Finance, insurance, real estate, rental, and leasing","50","10,305,813","10,942,368","12,367,929","13,139,349","15,007,764","14,632,561","15,814,238","17,246,412","16,782,135","16,975,520","18,101,091","19,049,503","19,377,955","20,691,473","22,507,868","24,823,337","24,572,050","23,911,367","22,262,499","21,160,269","21,639,412"
"                        Finance and insurance","51","2,874,958","3,065,755","3,370,468","3,578,037","4,281,275","4,351,975","4,796,936","4,417,519","4,246,726","4,146,330","4,083,824","4,602,364","4,420,732","5,383,245","5,393,950","5,977,775","5,599,269","6,295,846","6,282,672","6,569,723","7,079,515"
"                        Real estate and rental and leasing","56","7,430,855","7,876,613","8,997,461","9,561,312","10,726,489","10,280,586","11,017,302","12,828,894","12,535,409","12,829,190","14,017,267","14,447,139","14,957,223","15,308,228","17,113,918","18,845,562","18,972,781","17,615,520","15,979,828","14,590,546","14,559,897"
"                Professional and business services","59","8,475,998","8,855,170","9,261,128","10,366,564","11,288,097","12,266,356","12,581,672","13,279,658","13,277,210","14,106,534","15,072,495","15,203,044","14,892,331","15,313,039","15,482,702","16,219,718","17,078,586","17,914,313","18,368,327","17,784,151","19,384,941"
"                        Professional, scientific, and technical services","60","6,941,817","7,326,558","7,533,130","7,982,531","8,561,191","9,289,147","9,423,028","10,121,956","10,182,021","10,740,106","11,428,619","11,573,788","11,166,618","11,586,266","11,706,131","12,307,453","12,772,011","13,491,665","13,954,836","13,689,052","14,880,549"
"                        Management of companies and enterprises","64","132,365","124,172","163,416","733,595","829,851","959,036","1,021,944","1,012,047","1,018,443","1,107,530","1,347,153","1,347,599","1,421,712","1,297,809","1,299,932","1,238,660","1,362,322","1,483,934","1,521,653","1,238,935","1,291,229"
"                        Administrative and support and waste management and remediation services","65","1,401,816","1,404,440","1,564,582","1,650,438","1,897,056","2,018,173","2,136,700","2,145,655","2,076,746","2,258,898","2,296,724","2,281,657","2,304,001","2,428,964","2,476,640","2,673,604","2,944,253","2,938,714","2,891,839","2,856,164","3,213,163"
"                Educational services, health care, and social assistance","68","3,099,541","3,330,210","3,484,956","3,822,463","4,038,904","4,301,607","4,449,930","4,813,525","5,043,712","5,256,903","5,489,583","5,639,210","5,693,579","5,875,177","6,195,987","6,493,186","6,687,007","7,031,681","7,328,087","7,131,683","7,809,218"
"                        Educational services","69","329,078","368,390","412,619","464,671","475,237","519,069","545,230","579,313","622,234","676,038","706,158","741,066","744,558","807,841","845,954","897,324","898,295","916,630","940,145","862,046","968,843"
"                        Health care and social assistance","70","2,770,462","2,961,821","3,072,337","3,357,792","3,563,666","3,782,538","3,904,700","4,234,212","4,421,479","4,580,864","4,783,425","4,898,144","4,949,022","5,067,337","5,350,034","5,595,862","5,788,712","6,115,051","6,387,942","6,269,637","6,840,375"
"                Arts, entertainment, recreation, accommodation, and food services","75","2,643,307","2,697,140","2,641,216","2,113,988","1,902,048","2,115,580","1,847,614","1,744,125","1,757,618","1,933,409","2,047,288","2,088,968","1,912,990","2,118,202","2,447,056","2,689,339","2,791,639","3,056,985","3,393,297","2,179,906","2,751,047"
"                        Arts, entertainment, and recreation","76","275,109","296,038","313,785","358,113","314,223","343,720","329,947","337,235","328,574","317,467","344,452","400,172","455,224","487,989","514,279","516,772","558,504","633,980","644,842","409,579","562,944"
"                        Accommodation and food services","79","2,368,197","2,401,103","2,327,431","1,755,875","1,587,825","1,771,860","1,517,667","1,406,890","1,429,045","1,615,942","1,702,836","1,688,796","1,457,766","1,630,212","1,932,777","2,172,567","2,233,134","2,423,005","2,748,455","1,770,327","2,188,102"
"                Other services (except government and government enterprises)","82","1,322,828","1,404,045","1,481,839","1,595,595","1,714,191","1,826,630","1,842,012","1,904,950","1,877,074","1,869,580","1,914,964","1,983,722","2,053,316","2,195,475","2,273,173","2,343,828","2,435,842","2,563,108","2,598,047","2,379,741","2,614,748"
"Government and government enterprises","83","8,225,590","9,006,904","9,590,313","10,134,836","10,778,407","11,142,897","11,865,733","12,589,890","13,535,979","14,159,180","14,950,119","14,822,017","15,026,752","15,604,908","16,203,707","16,863,238","17,650,722","18,160,338","18,629,893","19,876,492","20,582,023"


